title,speaker,description,CE_Credits,urllink,Category,format,Cost,educationalObjectives,Source,releaseDate
All-On-Four Implant Maintenance (AO4) for Registered Dental Hygienists,"Kirsta Herring, BCH, RDH","This course to addresses the fundamental foundations for suggested All-On-4 hygiene maintenance appointment best-practice protocol when carried out by Registered Dental Hygienists. An overview of the anatomical features AO4 prosthetics, step-by-step cleaning procedures, as well as patient education talking points will be discussed. A briefing of the rationales for mechanical and chemotherapeutic techniques involved in the cleanings is also included in the course.",1.25,https://www.dentaltown.com/onlinece/details/1147/all-on-four-implant-maintenance-ao4-for-registered-dental-hygienists,Implant Dentistry,Video, $36,"Understand hygiene needs of All-on-4 restorations
Learn how to do hygiene maintenance of All-on-4 restorations",Dentaltown,3/21/2024
Lasers in Prosthetic & Implant Dentistry: A Comprehensive Overview,Dr. Thomas Bilski,"In this comprehensive course, participants will delve into the transformative role of lasers in prosthetic and implant dentistry. The curriculum covers a range of laser types, including CO2, Nd:YAG, and Er:YAG,diode lasers and their applications in procedures such as osseointegration, soft tissue contouring. Participants will learn how lasers offer unparalleled precision and reduced trauma, leading to quicker healing times and less postoperative discomfort for patients. The course will feature live demonstrations, case studies equipping dental professionals with the skills needed to integrate laser technology into their practice effectively.

However, it's crucial to understand that laser technology is not a one-size-fits-all solution. The course will also address the limitations and contraindications of using lasers in prosthetic and implant dentistry. For instance, certain lasers may not be suitable for all types of tissues or prosthetic materials, and improper use can lead to thermal damage. Participants will engage in critical discussions about when to opt for traditional surgical methods over laser-assisted techniques. By the end of the course, attendees will have a balanced understanding of the benefits and limitations of lasers, enabling them to make informed decisions in clinical settings.",1.5,https://www.dentaltown.com/onlinece/details/1146/lasers-in-prosthetic-implant-dentistry-a-comprehensive-overview,Laser Therapy/Electrosurgery,Video, $36,"Identify the different types of lasers commonly used in restorative and implant dentistry, such as CO2, Nd:YAG, and Er:YAG, diode lasers and understand their unique properties and applications.
Demonstrate proficiency in laser-assisted techniques for soft tissue management, including gingival contouring and frenectomies.
Evaluate the role of lasers in enhancing osseointegration for dental implants, including the preparation of implant sites and post-operative care.
Understand the safety protocols and contraindications associated with laser use, including the potential for thermal damage and tissue burns.
Compare and contrast the benefits and limitations of laser-assisted procedures versus traditional surgical methods in restorative and implant dentistry.",Dentaltown,3/7/2024
Creating a Remarkable Dental Practice: How to Thrive!,Fred Joyal,"This course summarizes the key messages of the previous seven modules on creating a remarkable dental practice, and emphasizes the importance of the entire team participating in the learning and creation of that patient experience.

It also includes a practical, step-by-step approach to bringing change into individuals and the team as a whole, based on years of research on human behavior modification. Once you’ve decided the changes you want to make in your team and your practice, this gives you a powerful method for enacting those changes and making them permanent.",1.25,https://www.dentaltown.com/onlinece/details/988/creating-a-remarkable-dental-practice-how-to-thrive,"Practice Management, HR and Accounting",Video, $36,"The importance of both learning and unlearning in practice success
What holds most practices back from achieving a remarkable patient experience
Key reminders for the team on essential beliefs and actions
How to most effectively bring permanent change into the practice and team members",Dentaltown,2/22/2024
Ergonomics for the Dental Office,Dr. Leslie Hovda,"The practice of dentistry does not lend itself to being able to work with ideal posture. In this course you will learn about some common challenges faced in the dental office and how to make some changes to help prevent a possible career-ending injury. We will start by breaking down the main workplace stressors: Posture, Force and Frequency. We will apply these principles to all things in the dental office including instruments, equipment and postures of not only you but the front desk, assistant and even the patient.

We will complete the lesson with preventative tips, easy stretches to implement during your day and a comprehensive preventative exercise program. You will also be provided with checklists to bring to the office to help determine if the dentist, the assistant and the front desk are in an optimal position to prevent injury.",1.75,https://www.dentaltown.com/onlinece/details/1140/ergonomics-for-the-dental-office,"Health, Wellness and Ergonomics",Video, $36,"Identify why the practice of dentistry is at high risk for musculoskeletal disorders.
Understand how Posture, Force and Frequency affect your injury risk.
Apply recommendations to reduce injury risk with instruments, equipment and postures used in the dental practice.
Complete easy stretches during the day.
Utilize the preventative exercise suggestions provided to safeguard against injury.
Take a simple ergonomic checklist to the office for the dentist, assistant and front desk to help implement the changes suggested in the course.",Dentaltown,2/8/2024
Dental Sleep Medicine Implementation in Practice; Documentation and Billing,"Mark T. Murphy, DDS, D ABDSM, FAGD",This course will allow the general practitioner to survey the current landscape of medical and dental treatments for sleep apnea and decide how and if they want to evolve into this life saving arena. Sleep medicine has progressed in both the diagnosis and treatment protocol and outcome predictability. Discussed is how to document all the steps in treating your patient's sleep apnea issues as well as the best ways to get fairly reimbursed for your time and effort. This is part 5 of a comprehensive series of courses on Dental Sleep Medicine by Dr. Murphy that are being released on Dentaltown.,0.75,https://www.dentaltown.com/onlinece/details/1063/dental-sleep-medicine-implementation-in-practice-documentation-and-billing,Sleep Medicine,Video, $18,"Understand the need to document all steps in the sleep apnea treatment process.
Know the proper way to document the treatment of sleep apnea in the dental office.
Understand the various ways to receive fair reimbursement for treating sleep apnea.",Dentaltown,1/25/2024
Unconscious Bias in the Dental Practice,Dr. Laila Hishaw,"This course explores the pervasive nature of unconscious bias and its impact on decision-making within the dental profession. We will explore the common types of unconscious bias that can manifest within the dental practice, including racial or ethnic bias, gender bias, age bias, and socioeconomic bias, among others. The consequences of these biases on patient care are discussed, including disparities in treatment, communication challenges, and patient satisfaction. The presentation emphasizes the importance of adhering to ethical guidelines, specifically the Principle of Justice, a pillar of the ADA Code of Ethics, in mitigating bias and ensuring fair and respectful treatment for all patients. Practical strategies and evidence-based approaches to reducing unconscious bias are also provided, aiming to foster a culture of inclusivity and diversity within dental teams and the patients served.

This course will equip dental professionals to recognize and address unconscious bias in their practice. By understanding its impact, adhering to ethical principles, and implementing practical strategies, equitable care can be provided, leading to improved oral health outcomes and a positive impact on patients' lives.",1,https://www.dentaltown.com/onlinece/details/1141/unconscious-bias-in-the-dental-practice,"Ethics, Jurisprudence and Malpractice",Video, $36,"Define unconscious bias and the common types that present in the dental practice.
Understand the impact of unconscious bias in patient care.
Understand and apply the ADA Code of Ethic’s, principle of justice (""fairness"") in the dental profession in delivering dental care without prejudice.
Develop tools to reduce unconscious bias interpersonally and within our dental teams to provide equitable care and improve oral health outcomes.",Dentaltown,1/11/2024
Creating a Remarkable Dental Practice: Advertising and Tracking,Fred Joyal,"With the advent of the internet, marketing has changed radically. Patients are harder to attract, money is often misspent, and results are hard to determine. This course lays out in detail how to budget properly for effective results, what media to test and what messages are most effective in attracting high-value patients.

You’ll understand how to plan and budget your advertising campaigns, and the importance of tracking results with proper reporting. The course tells you what reports you need and how to interpret them so that you are using your advertising dollars most effectively. It also covers what messages are most effective in attracting patients.",1.5,https://www.dentaltown.com/onlinece/details/987/creating-a-remarkable-dental-practice-advertising-and-tracking,"Practice Management, HR and Accounting",Video, $36,"When and where to spend your advertising dollars
What reporting yields the most important information on advertising results
When to stop advertising
The most common pitfalls in digital marketing and promotion
What combination of digital and traditional advertising will work best for your practice",Dentaltown,12/14/2023
One-Step Alveolar Ridge Preservation Without the Need for a Membrane,"Timothy F. Kosinski, DDS","This course presents a series of simple, cost-effective, and predictable clinical uses for bone regeneration focused on one-step alveolar ridge preservation using novel composite graft/collagen materials. Cost-effective surgical techniques for both everyday tooth extractions as well as innovative surgical procedures for ridge preservation, sinus lift, and grafting around immediately placed implants will also be reviewed.",1.75,https://www.dentaltown.com/onlinece/details/1142/one-step-alveolar-ridge-preservation-without-the-need-for-a-membrane,Implant Dentistry,Video, $36,"Understand alveolar ridge preservation and why it is important to graft sockets as well as recognize the clinical indications and benefits of grafting extraction sites.
Demonstrate simple, predictable and cost-effective socket grafting techniques without the use of a membrane
Review additional surgical applications covering post-extraction grafting around immediate implant placement including filling interproximal and facial gaps after extraction and also successful sinus elevation.",Dentaltown,12/7/2023
Dental Sleep Medicine Implementation in Practice; Treatment and Comparison of Devices.,"Mark T. Murphy, DDS, D ABDSM, FAGD","This course helps general practitioners survey the current landscape of medical and dental treatments for sleep apnea and decide how—and if—they want to evolve into this lifesaving arena. The discussion covers the actual treatment for sleep apnea dentists can offer, along with the comparison and proper use of various devices. This is Part 4 of Dr. Murphy's comprehensive series of courses on dental sleep medicine available on Dentaltown.",2.25,https://www.dentaltown.com/onlinece/details/1062/dental-sleep-medicine-implementation-in-practice-treatment-and-comparison-of-devices,Sleep Medicine,Video, $36,"Understand the objectives in treating sleep apnea by dentists.
Learn how to construct dental sleep apnea devices.
Understand the differences between various devices.
Know how to adjust the devices to help the patient.
Know how to prevent bite changes and tooth movement.",Dentaltown,12/3/2023
Bridging the Orofacial Pain - Restorative Dentistry Divide,"Drs. Barry Glassman, Lane Ochi, and Don Malizia","In this first in the series, Drs. Lane Ochi, Barry Glassman and Don Malizia discuss the need to bridge the gap between restorative therapy and orofacial pain that includes damage to the dental structures from bruxism. Join us in the lively no-holds-barred session as Lane, Barry and Don tackle some extremely important dental concepts and set the stage for upcoming forums in bruxism, occlusion and in-depth molding of restorative, prosthodontic and orofacial pain principles.",2.25,https://www.dentaltown.com/onlinece/details/1139/bridging-the-orofacial-pain-restorative-dentistry-divide,TMJ and Occlusion,Video, $36,"Know the evolution of the theory of occlusion in dentistry.
Understand the role of occlusion in dentistry.
Recognize what type of patient requires intervention.
Know the different types of intervention and their indications.
Understand the risks of intervention.",Dentaltown,11/16/2023
